id_estacion,nombre_calle,lat,lon,altitud,direccion,cruce_calles,codigo_postal,index_right,codigo_distrito,nombre_distrito
512,"C/ D'ALACANT, 12",41.4000778,2.1326911,96.0,"C/ D'ALACANT, 12",05-Sarrià-StGervasi/24-les Tres Torres,8017.0,5,05,Sarrià-Sant Gervasi
513,"VIA AUGUSTA, 317",41.399017,2.124329,111.0,"VIA AUGUSTA, 317",05-Sarrià-StGervasi/24-les Tres Torres,8017.0,5,05,Sarrià-Sant Gervasi
514,"C/ ARAGÓ, 614",41.4095069,2.1885055,16.0,"C/ ARAGÓ, 614",10-SantMartí/65-el Clot,8018.0,10,10,Sant Martí
515,"C/ SANT ADRIÀ, 43",41.4352071,2.1948002,19.0,"C/ SANT ADRIÀ, 43",09-SantAndreu/59-el Bon Pastor,8030.0,9,09,Sant Andreu
516,"C/ SANT ADRIÀ, 88",41.4354601,2.2001569,15.0,"C/ SANT ADRIÀ, 88",09-SantAndreu/59-el Bon Pastor,8030.0,9,09,Sant Andreu
517,"AV. RASOS DE PEGUERA, 10",41.462095,2.178959,44.0,"AV. RASOS DE PEGUERA, 10",08-NouBarris/55-Ciutat Meridiana,8033.0,8,08,Nou Barris
518,"C/ LLOBREGÓS, 115",41.4246885,2.1570492,112.0,"C/ LLOBREGÓS, 115",07-Horta-Guinardó/37-el Carmel,8032.0,7,07,Horta-Guinardó
519,"C/ PEDRELL, 52",41.4246548,2.166289,110.0,"C/ PEDRELL, 52",07-Horta-Guinardó/36-la Font d'en Fargues,8032.0,7,07,Horta-Guinardó
526,C/ TARONGERS | AV. MIRAMAR (TELEFÈRIC),41.3683855,2.1645038,93.0,C/ TARONGERS | AV. MIRAMAR (TELEFÈRIC),03-Sants-Montjuïc/11-el Poble-sec,8038.0,3,03,Sants-Montjuïc
527,"PG. OLIMPIC, 8",41.3619729005392,2.15432161045075,,"PG. OLIMPIC, 8",03-Sants-Montjuïc/11-el Poble-sec,8038.0,3,03,Sants-Montjuïc
537,"AV. ESTADI, 12",41.3653602,2.1476099,75.0,"AV. ESTADI, 12",03-Sants-Montjuïc/11-el Poble-sec,8038.0,3,03,Sants-Montjuïc
538,"AV. ESTADI, 38",41.3663147,2.1522059,86.0,"AV. ESTADI, 38",03-Sants-Montjuïc/11-el Poble-sec,8038.0,3,03,Sants-Montjuïc
539,"C/ FRANÇA XICA, 4",41.3721749,2.1602153,26.0,"C/ FRANÇA XICA, 4",03-Sants-Montjuïc/11-el Poble-sec,8004.0,3,03,Sants-Montjuïc
540,"C/ MANDONI, 6",41.3693483,2.1426008,18.0,"C/ MANDONI, 6",03-Sants-Montjuïc/14-la Font de la Guatlla,8004.0,3,03,Sants-Montjuïc
541,"C/ MARBRE, 2",41.3614158,2.1476169,28.0,"C/ MARBRE, 2",03-Sants-Montjuïc/13-la Marina de Port,8038.0,3,03,Sants-Montjuïc
542,Copa América Barcelona - 542,41.3745380911102,2.18921691326618,,Copa América Barcelona 2024,,,1,01,Ciutat Vella
543,Copa América Barcelona - 543,41.3838298564072,2.19137099384841,,Copa América Barcelona 2024,,,1,01,Ciutat Vella
544,"C/ MONTFAR, 1",41.37049,2.148729,,"C/ MONTFAR, 1",03-Sants-Montjuïc/14-la Font de la Guatlla,8004.0,3,03,Sants-Montjuïc
547,"C/ MALLORCA, 194 (xamfrà)",41.38997,2.15772,33.0,"C/ MALLORCA, 194 (xamfrà)",02-Eixample/08-l'Antiga Esquerra de l'Eixample,8036.0,2,02,Eixample
553,"VIA AUGUSTA, 68",41.4005123,2.1518158,61.0,"VIA AUGUSTA, 68",06-Gràcia/31-la Vila de Gràcia,8006.0,6,06,Gràcia
554,"C/ AVENIR, 35",41.3957844,2.1468644,58.0,"C/ AVENIR, 35",05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,8021.0,5,05,Sarrià-Sant Gervasi
558,"RBLA MUNTANYA, 49",41.4209497,2.1768396,62.0,"RBLA MUNTANYA, 49",07-Horta-Guinardó/35-el Guinardó,8041.0,7,07,Horta-Guinardó
561,"C/ MANILA, 53",41.3900749643978,2.12649638895492,69.4,"C/ MANILA, 53",04-LesCorts/21-Pedralbes,8034.0,4,04,Les Corts
563,"C/ ENTENÇA, 301",41.38952,2.13862,54.0,"C/ ENTENÇA, 301",04-LesCorts/19-les Corts,8029.0,4,04,Les Corts
564,"C/ CARRERA, 1",41.3744342365138,2.17486130472679,,"C/ CARRERA, 1",03-Sants-Montjuïc/11-el Poble-sec,8004.0,3,03,Sants-Montjuïc
