id_estacio,lat,lon,nom_districte,cluster,cluster_name,capacitat_mitja,nab_lab_h06_08,nab_lab_h08_10,nab_lab_h10_12,nab_lab_h12_14,nab_lab_h14_16,nab_lab_h16_18,nab_lab_h18_20,nab_lab_h20_22,nab_lab_h22_00,nab_fest_h06_10,nab_fest_h10_14,nab_fest_h14_18,nab_fest_h18_22,nab_fest_h22_00,std_nab_global,mitja_nab_global,std_nab_punta_matinada,std_nab_punta_tarda,mitja_rang_bicis_norm,mitja_rang_anclatges_norm,ratio_buida_global,ratio_plena_global,ratio_extremes_global,ratio_buida_hora_punta,ratio_plena_hora_punta,nab_mitja_punta_matinada,nab_mitja_punta_tarda
186,41.3755503,2.1439036,Sants-Montjuïc,2,Origen Commuter Matí,24.213651205280787,0.4342162192473804,0.19906322769956586,0.1211677801271687,0.16025642184583289,0.1968512335835731,0.3234945366362709,0.4522943647789693,0.5069763988280017,0.5114701898993377,0.5075684646169696,0.3898101680027785,0.2987032884386139,0.30381079229489016,0.3360299580278272,0.2647076961080869,0.38158827948689256,0.2304245078010103,0.2352063169081156,0.0840799026267774,0.0832447710660372,0.10340632603406326,0.02005398418491484,0.0,0.1526001705029838,0.018861892583120203,0.2592652346297923,0.42121182625915443
187,41.3768806,2.1698206,Ciutat Vella,3,Ús Mixt Equilibrat,18.195710340234672,0.48192766598657366,0.32743538844349124,0.28591295994854543,0.2855258456437851,0.3466220016980869,0.4531127015622111,0.5502850647852482,0.7166338856511691,0.7404229740136636,0.5186979615487727,0.37607298769218567,0.3694567749879692,0.5681120902551994,0.7328966926233599,0.3048252025010433,0.5204617050288751,0.25858265079105713,0.2638508161812692,0.07160547587583536,0.0704597023213093,0.05459245742092458,0.11260644768856448,0.0007983576642335766,0.08013640238704177,0.049978687127024725,0.3655062097267175,0.5266246571691211
188,41.3756948,2.1358571,Sants-Montjuïc,2,Origen Commuter Matí,24.839687971915396,0.4811119896609098,0.12037248971857531,0.11116739107847885,0.1506936501663808,0.255842528401592,0.44049894976377285,0.5557206210519006,0.5853583198687338,0.5447657058364639,0.4162199101362701,0.31520559029833584,0.2773666015974173,0.30539576388893663,0.3311071678984261,0.29017627266358936,0.396177243748173,0.22413761066484,0.26862721574135484,0.11309265660425274,0.11224487030390974,0.12480991484184915,0.047958485401459854,0.0,0.20907928388746802,0.05850383631713555,0.20646931092841236,0.5359659327326334
189,41.3969839,2.1661852,Eixample,2,Origen Commuter Matí,26.647096169406428,0.4823977003526568,0.3212777727986987,0.3341578389755149,0.39590015254357613,0.32570063977186015,0.31093047276225716,0.32204058444493333,0.3876028106431325,0.43113291824917255,0.4113203663739598,0.38119063913563545,0.2780695920690695,0.3420623753179781,0.41969431197988366,0.2599333249920588,0.3713439464641144,0.27218907763754,0.255852905309348,0.08759808106980828,0.08816912327852788,0.13872414841849148,0.005683546228710462,1.900851581508516e-05,0.2143009377664109,0.004688832054560955,0.371651009982966,0.32767567204349307
19,41.4031491,2.1707947,Eixample,2,Origen Commuter Matí,28.43522964365288,0.5150646643538311,0.1807777589000077,0.26287453795661536,0.33719449401197804,0.3967936469570877,0.36776531337036145,0.35428997230737336,0.37224567973525635,0.4566479555253581,0.41402898125782256,0.3072087315721929,0.21740920606581404,0.3025262695462066,0.4050250040695428,0.2733751201442329,0.3922045186860365,0.2636200550543503,0.261363834888161,0.08589825653935111,0.08609575003957655,0.130132299270073,0.013572080291970804,0.0,0.2635336743393009,0.007459505541346973,0.2719220651054993,0.359452881274893
190,41.3961412,2.2078439,Sant Martí,3,Ús Mixt Equilibrat,26.831039592176715,0.34499259364334944,0.43686948543903703,0.5655552908798275,0.6257652160692373,0.6374260588430416,0.6806976335007062,0.6148110805288856,0.42618904638312005,0.3240643824838421,0.45175624199411635,0.7696579664366894,0.7687529241390442,0.36721950161716027,0.2537532567105587,0.3028833218397831,0.46541843479370887,0.22811261046200587,0.26597747548291784,0.08036035411641876,0.07915524985998447,0.05751976885644769,0.0826110097323601,1.900851581508516e-05,0.011082693947144074,0.09249786871270248,0.4152866814468455,0.6350272451014742
191,41.381951,2.147474,Eixample,0,Perifèric Baix Ús,32.95225010135578,0.38108677713024464,0.14408184933782048,0.1410495855060142,0.18662834725837846,0.23186397589046603,0.22712481189190536,0.21154666358491941,0.24045752405417659,0.3064382083113666,0.3862556671648926,0.23170165258335537,0.1405264099665167,0.14735995335296095,0.23527216800113154,0.2237633216395559,0.27261795038739856,0.20530393637636757,0.18325890642805012,0.05412247888149673,0.05397505973877237,0.1289917883211679,0.00475212895377129,0.0,0.21280903665814152,0.00031969309462915604,0.20897340300531408,0.21612797199658434
192,41.3786364,2.1335494,Sants-Montjuïc,2,Origen Commuter Matí,19.600488313528007,0.5034027171873086,0.14024819880646386,0.11094716408997995,0.1603768085326462,0.3639390709697391,0.36663082757916354,0.38431812436132695,0.4309519978072254,0.5475605726608868,0.5308130025745764,0.2732043833231694,0.2192432393950099,0.2513585810343487,0.36326763783377247,0.29719146049117595,0.4037324509788945,0.2442308681727308,0.25246441998059005,0.09194517321465344,0.09090052868454747,0.1334397810218978,0.044498935523114354,3.801703163017032e-05,0.238384484228474,0.01694373401534527,0.2283082566209438,0.37727772254003117
193,41.3812979,2.1289917,Les Corts,0,Perifèric Baix Ús,25.565325036746568,0.34808085499973707,0.17412115145598822,0.1998450212912489,0.238740253885138,0.3124530201453053,0.24713446235483666,0.19957240198222848,0.1838104491371547,0.2378854243185856,0.33725574379964984,0.2428723779420273,0.1996787581716809,0.1761911622872244,0.230514079865847,0.215653191668325,0.25984532684341993,0.2102874723809238,0.19672490561105102,0.05866497823724224,0.05813868362148143,0.1590632603406326,0.0034215328467153286,0.0,0.2668371696504689,0.0026641091219096334,0.22020750991122628,0.21149976727774558
194,41.3812001,2.1323612,Les Corts,0,Perifèric Baix Ús,22.76949315203466,0.3445713956692197,0.12007245804239265,0.12247089275590899,0.16848799919676166,0.2596711362774354,0.24164538228707733,0.24457960778136062,0.22464668120866788,0.2551244951905746,0.3449288816775528,0.1938956637062365,0.1334851653190549,0.1292052900082984,0.20589579102125202,0.22353767281955833,0.2536660132147598,0.20182873541197932,0.2057122244508657,0.07278522601226842,0.07218578599192174,0.20103406326034062,0.006082725060827251,0.0,0.31638959931798805,0.0034100596760443308,0.17489999375153067,0.2433246852190785
195,41.3821371,2.1354149,Les Corts,0,Perifèric Baix Ús,25.935085467546003,0.3004937509045702,0.11266421090267467,0.09633672466900742,0.11525864155220011,0.16186769510095075,0.18685674075249625,0.20356734379227384,0.19169356188108055,0.24765552033484664,0.2878560160973291,0.20092179736835605,0.14547958821595014,0.17340616120375238,0.22580479451041904,0.18981002857252646,0.21186690171977074,0.19194999932890514,0.169449687309825,0.05962705883300897,0.05928910235794886,0.19476125304136252,0.0017868004866180049,1.900851581508516e-05,0.29560954816709295,0.0011722080136402388,0.1664284343911186,0.20168305227290415
196,41.3832609,2.1392662,Sants-Montjuïc,0,Perifèric Baix Ús,25.798647137307157,0.23443450385946366,0.12808901588038435,0.12908478737001522,0.14776627727847286,0.20551773439354726,0.24570757651571634,0.19606749370760718,0.17339382195176645,0.20120100728482482,0.3190706953718143,0.2336967793145151,0.19821586127041035,0.14015456046398114,0.1449531670491831,0.18317008338936594,0.2065209201583861,0.1660976676761985,0.19520639965015232,0.07186132191278764,0.07172078105665612,0.20253573600973235,0.0015777068126520682,0.0,0.318307757885763,0.0014919011082693947,0.15410020570387117,0.2132103817549969
197,41.3871579,2.1410945,Les Corts,0,Perifèric Baix Ús,25.60632008933805,0.24423263424752947,0.12293025475597888,0.1368259653341047,0.18123050815344502,0.24457484718312755,0.20090022983041178,0.1388875843753925,0.18305378897448224,0.2583556068045212,0.26691256590777307,0.1825060311877173,0.15777842064206773,0.16249831725542038,0.2649981936708199,0.20277763144181182,0.22132339813075816,0.16966200395493994,0.16840214375053933,0.07566110150369922,0.07556265736696874,0.20597627737226276,0.002014902676399027,0.0,0.3872549019607843,0.0005328218243819267,0.15062581636341202,0.15559733034445347
198,41.3847113,2.1334379,Les Corts,0,Perifèric Baix Ús,25.45659329674622,0.1845638858352357,0.07553976967536227,0.09034235668143992,0.11704670114760923,0.17476602711359043,0.20482789312015226,0.18533384518351817,0.14592536263207267,0.13165556344275933,0.22958131538634208,0.18131920881605587,0.11713699998522858,0.1068233400002607,0.1506942196125878,0.15111190623535234,0.16027878877015675,0.12684004024169282,0.1763270246604886,0.058058561673606644,0.05781249049333787,0.2520719282238443,0.0003801703163017032,0.0,0.39471440750213127,0.00042625745950554135,0.10021154524518762,0.19206811160527873
199,41.3819739,2.1268625,Les Corts,0,Perifèric Baix Ús,25.521593329157408,0.3306533869492225,0.23292215526704715,0.15893528743527652,0.17658596799443474,0.16763149190616988,0.1395765177046978,0.12613635203470652,0.15241969668802893,0.2190800494942389,0.30524067664383026,0.2035636065560644,0.17001001103490881,0.17173234162738285,0.20544184748976266,0.18159506399612427,0.2256901363082192,0.19670467130504243,0.14189201959687026,0.05077353913891273,0.05027094542277465,0.13488442822384428,0.003136405109489051,0.0,0.2215473145780051,0.0040494458653026425,0.25962453494633125,0.1292001592103278
2,41.3954877,2.1771985,Eixample,2,Origen Commuter Matí,27.32895215151674,0.46369809062369327,0.34414526469737994,0.2568783662025086,0.2725656155235498,0.3655582589437033,0.37681021981978713,0.31826843388679277,0.3395099429906555,0.3924082095092729,0.4619964565648069,0.36728975589378077,0.3117938892397318,0.29055985263014117,0.33779262186292125,0.23092823007402744,0.36842183639721743,0.24042732550980406,0.22753800494522813,0.07172745648599359,0.07210067397843935,0.06911496350364964,0.005398418491484185,5.702554744525547e-05,0.1025149190110827,0.009271099744245524,0.3934982982701336,0.33972019967928424
20,41.410314,2.1757334,Eixample,2,Origen Commuter Matí,16.00567377135817,0.570832230554072,0.11969275589039499,0.0973854700225178,0.13371507517198694,0.25051973054151244,0.2646525862977485,0.2899667836922759,0.3892278007227117,0.5506175593183842,0.6076616665155975,0.19482165433384552,0.15412033365564465,0.2814333376466126,0.4217524727114073,0.3220789785943235,0.4037153119721879,0.25489242528482564,0.22372737330108722,0.12978728224119876,0.12993165019959968,0.2242624695863747,0.08245894160583941,0.0004942214111922142,0.3700980392156863,0.016091219096334188,0.23166694752507078,0.28172733432847225
200,41.3839045,2.1312876,Les Corts,0,Perifèric Baix Ús,22.663229218050105,0.259070203083856,0.13321763190144367,0.13901115454485197,0.18807265022434766,0.21952604256975444,0.18924295144675218,0.1578880925526328,0.14394165010449658,0.168325835960912,0.2616979755562293,0.17139456442108053,0.14849985567982896,0.14248939135011185,0.19061454133920136,0.18340950944728296,0.1975879066260227,0.1729569511455184,0.16703339375928222,0.07264712759121013,0.07257427084097744,0.22293187347931873,0.0029273114355231142,0.0,0.34281756180733164,0.002237851662404092,0.16094109270152318,0.16751694219011862
201,41.3878061,2.1344218,Les Corts,0,Perifèric Baix Ús,22.341076102097215,0.18599743524825935,0.16332437781092496,0.19269775854857138,0.2536354101757039,0.21491167824060517,0.2469787605217476,0.175095979045324,0.13917872922708804,0.129518534162344,0.2164176160036885,0.2656997802224851,0.2166257183391549,0.18535582043846094,0.17730159003892776,0.17344478353369092,0.185406987226675,0.15219952094920527,0.18573876881588663,0.0959996844264359,0.09493207849167966,0.25363062652068125,0.0016157238442822384,0.0003801703163017032,0.3458013640238704,0.0013853367433930093,0.16464785121913306,0.19313814749955077
202,41.3854466,2.1288753,Les Corts,0,Perifèric Baix Ús,25.767092567937866,0.23920211047134474,0.2368406750564607,0.21259581294273444,0.20912337661195723,0.19493443740341165,0.15479342730179024,0.10776737936122609,0.09335069005003797,0.11238864839510798,0.2585052634247934,0.21613123486014527,0.17203150777316203,0.13968542332068307,0.15471904871523778,0.17054054884212966,0.18202252993453857,0.1859581973901857,0.14866826920996548,0.052307827329994866,0.05224962429165542,0.21112758515815086,0.0005322384428223844,0.0,0.30477408354646207,0.00031969309462915604,0.2395288569733071,0.12274793564308446
203,41.3887069,2.1285766,Les Corts,4,Residencial Entrada Tarda,31.190474465418568,0.24417052811400464,0.6144807353710499,0.6982407421543487,0.622145275108412,0.31179733652645947,0.1956338189313883,0.10675549831266117,0.08915900906716465,0.09681290118975809,0.24200277407734383,0.35046047500372185,0.31273317351615787,0.22034494118309939,0.1556970689987137,0.28201277158013544,0.2719496208408044,0.2758414250727712,0.1789397023505232,0.062053164420581154,0.06185724265998742,0.2428337895377129,0.0180580900243309,1.900851581508516e-05,0.27738704177323104,0.03548593350383632,0.5072222525051913,0.12670960538262563
204,41.3880355,2.1256248,Les Corts,4,Residencial Entrada Tarda,31.846950758688067,0.38114074847212,0.5112202619940833,0.6009925981230144,0.5263981732150426,0.3041582902470384,0.19557164872054908,0.0983578879690486,0.09393405005359323,0.10897212779469785,0.3176030568354005,0.327741803762582,0.30364319164191933,0.24076530219821718,0.18837137895807304,0.2706515291376847,0.29570885398569946,0.2576626559457464,0.17625515914336015,0.05926117510906618,0.05891670949459674,0.21262925790754258,0.017335766423357664,0.0,0.29401108269394716,0.02514919011082694,0.4708231171914856,0.11845446514512269
205,41.3879413310938,2.13059591593856,Les Corts,0,Perifèric Baix Ús,31.68324952365972,0.2382925001485051,0.23228198383594983,0.2526062092600771,0.2772865038640113,0.2575280796569738,0.1666367938595988,0.11756108011700682,0.11917978986894263,0.12070750438947446,0.25344030918214294,0.23357661574308397,0.18698326103609425,0.1351861900165037,0.14906675017507962,0.1923336331181221,0.19812721277161122,0.1965308570037381,0.1628027702195381,0.05002539426062855,0.05045527174186962,0.19626292579075424,0.0003991788321167883,0.00017107664233576643,0.3171355498721228,0.00042625745950554135,0.2271861814814111,0.12846558965569066
206,41.3897943,2.1328634,Les Corts,4,Residencial Entrada Tarda,31.347222604422452,0.3400497645049876,0.5295467586225531,0.6220652281634307,0.551595506768445,0.3104616083132443,0.2102318183888622,0.11545470762157325,0.08610789113924676,0.08800566468871648,0.26928295893026666,0.3015969892969186,0.25589172703234375,0.1894742668581238,0.15293459292252226,0.27172894904189293,0.28358233921013715,0.27118327310243057,0.18370029982696692,0.062195154497624715,0.062369449819518814,0.23114355231143552,0.012165450121654502,0.0,0.25671355498721227,0.02152600170502984,0.46879861271027806,0.1384108722418136
207,41.3908477,2.136579,Les Corts,4,Residencial Entrada Tarda,22.937360420013302,0.2622239065358894,0.5635153357668407,0.7112067711266606,0.6452322506454178,0.38515791896727775,0.2517488998877466,0.14284873416430982,0.115451789407332,0.12331675843077067,0.1561539900715057,0.3369573636852228,0.3208649908787353,0.2250192482318537,0.15278110075381912,0.285830367372114,0.27974575972878224,0.28655919785403455,0.20419497040467072,0.09314506664089656,0.09256130265743802,0.24693962895377128,0.03539385644768856,0.0001330596107055961,0.24147485080988917,0.05552003410059676,0.4765551330118639,0.16712427779130218
