id_estacio,nom_districte,lat,lon,slots_mesurats,capacitat_mitja,pct_buida,pct_plena,pct_problema
506,Horta-Guinardó,41.4191957,2.1718497,64021,13.3,25.8,7.38,33.27
215,Sarrià-Sant Gervasi,41.3939378,2.1380304,64155,19.2,32.75,0.49,33.24
217,Sarrià-Sant Gervasi,41.3985735,2.1440826,64187,25.5,32.98,0.06,33.05
320,Sarrià-Sant Gervasi,41.400305,2.149144,63450,24.9,32.53,0.23,32.8
207,Les Corts,41.3908477,2.136579,64080,22.7,29.05,3.27,32.33
324,Sarrià-Sant Gervasi,41.3969455,2.136346,64090,25.7,32.22,0.06,32.28
603,Eixample,41.4093189006091,2.17657691610016,3545,22.7,28.55,3.44,32.16
518,Horta-Guinardó,41.4246885,2.1570492,64126,26.2,32.07,0.0,32.07
433,Les Corts,41.3862258,2.1168609,63723,37.0,29.38,2.69,32.07
20,Eixample,41.410314,2.1757334,64150,16.0,24.43,7.59,32.05
503,Gràcia,41.4095926,2.1524953,64116,28.0,31.59,0.09,31.83
431,Les Corts,41.383467,2.122175,54534,19.7,31.19,0.51,31.7
74,Les Corts,41.3900085,2.1432105,64151,13.3,29.76,1.79,31.56
335,Sarrià-Sant Gervasi,41.3935355,2.1231228,63855,25.9,31.39,0.1,31.53
322,Sarrià-Sant Gervasi,41.4009,2.13892,64170,22.5,31.47,0.03,31.5
476,Horta-Guinardó,41.422037,2.174401,64175,16.8,26.92,4.49,31.43
504,Gràcia,41.4092333,2.1557747,64050,26.4,30.56,0.43,31.38
502,Gràcia,41.4074444,2.1492066,64112,16.6,30.25,1.05,31.3
123,Eixample,41.3988184485363,2.16673522491668,63084,18.1,30.19,1.01,31.24
101,Sarrià-Sant Gervasi,41.392878,2.143411,64031,21.9,30.09,1.07,31.16
214,Sarrià-Sant Gervasi,41.3952027,2.1334873,64149,24.1,31.11,0.02,31.13
68,Eixample,41.3953894,2.1572953,63780,23.6,28.95,1.98,30.94
226,Gràcia,41.4035608,2.1609345,63748,23.7,28.86,1.66,30.89
326,Sarrià-Sant Gervasi,41.4074131,2.1381069,63889,30.6,30.85,0.03,30.88
229,Gràcia,41.4050968,2.1569161,61426,25.0,29.81,0.98,30.79
332,Sarrià-Sant Gervasi,41.3998981,2.1281922,64129,26.5,30.62,0.06,30.69
222,Gràcia,41.4013296,2.1574439,61557,23.4,29.57,1.02,30.68
80,Eixample,41.389668,2.1599078,64089,17.2,23.94,6.61,30.59
432,Les Corts,41.3847061,2.1170751,63981,26.8,29.36,1.22,30.58
223,Gràcia,41.3983444,2.1598243,64088,32.7,30.17,0.38,30.57
512,Sarrià-Sant Gervasi,41.4000778,2.1326911,64167,26.1,30.33,0.02,30.36
27,Eixample,41.3967524,2.1646338,64072,17.8,28.95,1.38,30.33
64,Eixample,41.387493,2.1690686,63343,20.0,18.59,11.71,30.31
539,Sants-Montjuïc,41.3721749,2.1602153,22307,14.5,19.74,10.35,30.09
357,Gràcia,41.4105956,2.1579897,64107,23.9,28.14,1.52,29.69
216,Sarrià-Sant Gervasi,41.3967824,2.1445567,64015,25.1,29.49,0.04,29.57
61,Eixample,41.39352,2.166797,63784,18.3,24.99,4.49,29.49
505,Horta-Guinardó,41.4145614,2.1658677,64124,25.2,28.67,0.31,29.01
321,Sarrià-Sant Gervasi,41.4031529,2.1445843,64098,24.1,28.49,0.49,29.01
109,Eixample,41.3912605,2.1476308,64062,21.8,28.39,0.43,28.97
65,Eixample,41.387696,2.1696543,63531,18.6,12.18,16.64,28.85
356,Horta-Guinardó,41.4134503,2.1631012,63292,28.5,27.17,1.67,28.84
336,Sarrià-Sant Gervasi,41.3948771,2.1205394,64090,24.6,28.66,0.18,28.83
28,Eixample,41.4055143,2.1706498,64110,20.8,26.57,2.18,28.76
21,Eixample,41.4108439,2.1740575,64104,19.2,25.19,3.42,28.65
493,Gràcia,41.419965,2.1401823,63439,23.0,28.15,0.13,28.63
203,Les Corts,41.3887069,2.1285766,64121,30.9,27.0,1.57,28.58
430,Les Corts,41.385641,2.113096,64016,26.0,25.66,2.79,28.45
201,Les Corts,41.3878061,2.1344218,63968,22.2,28.21,0.14,28.38
508,Gràcia,41.4090922,2.1656378,63837,24.8,25.53,2.81,28.35
435,Les Corts,41.383585,2.112186,64072,26.7,27.17,1.16,28.34
465,Eixample,41.3954094,2.1599427,63962,25.5,26.98,1.26,28.23
224,Eixample,41.3999967,2.1644531,64017,23.6,27.32,0.84,28.2
488,Horta-Guinardó,41.4347859,2.147904,63879,26.5,28.06,0.03,28.09
510,Gràcia,41.3989151,2.1564253,63899,23.4,27.42,0.65,28.07
500,Gràcia,41.4117633,2.1453424,59340,22.1,27.42,0.2,28.03
44,Eixample,41.4014737309554,2.1867650955646,47314,16.1,22.49,5.06,27.96
558,Horta-Guinardó,41.4209497,2.1768396,3534,35.4,27.79,0.14,27.93
206,Les Corts,41.3897943,2.1328634,63941,31.1,26.74,1.09,27.84
446,Ciutat Vella,41.3779974,2.1884228,62959,12.8,3.71,24.07,27.81
219,Sarrià-Sant Gervasi,41.3976165,2.1471724,63960,24.4,27.36,0.21,27.58
303,Les Corts,41.3934324,2.115107,64132,25.5,25.71,1.84,27.56
350,Eixample,41.391756,2.148291,64019,29.4,27.04,0.17,27.55
