dia_setmana,nom_dia_setmana,hora_dia,mitj_viatges_hora_dia
4,Dijous,3,340.7282051282051
4,Dijous,4,313.1589743589744
4,Dijous,5,436.7128205128205
4,Dijous,6,774.0205128205129
4,Dijous,7,1995.2666666666667
4,Dijous,8,2337.0102564102563
4,Dijous,9,1646.5692307692307
4,Dijous,10,1369.2371134020618
4,Dijous,11,1421.1384615384616
4,Dijous,12,1583.4896907216496
4,Dijous,13,1866.2397959183672
4,Dijous,14,2073.2615384615383
4,Dijous,15,1935.5641025641025
4,Dijous,16,2092.6358974358973
4,Dijous,17,2377.0564102564103
4,Dijous,18,2515.2091836734694
4,Dijous,19,2312.112244897959
4,Dijous,20,2192.0051020408164
4,Dijous,21,1845.780612244898
4,Dijous,22,1535.658163265306
4,Dijous,23,1508.1122448979593
5,Divendres,0,1241.0969387755101
5,Divendres,1,789.265306122449
5,Divendres,2,576.8711340206186
5,Divendres,3,432.5360824742268
5,Divendres,4,388.16062176165804
5,Divendres,5,528.699481865285
5,Divendres,6,754.7938144329897
5,Divendres,7,1817.840206185567
5,Divendres,8,2089.1794871794873
5,Divendres,9,1618.5816326530612
5,Divendres,10,1383.2704081632653
5,Divendres,11,1460.969387755102
5,Divendres,12,1629.4234693877552
5,Divendres,13,1919.7397959183672
5,Divendres,14,2213.918367346939
5,Divendres,15,2065.528205128205
5,Divendres,16,2120.9589743589745
5,Divendres,17,2195.2153846153847
5,Divendres,18,2244.9484536082473
5,Divendres,19,2236.634020618557
5,Divendres,20,2129.9690721649486
5,Divendres,21,1826.3937823834196
5,Divendres,22,1526.9010416666667
5,Divendres,23,1537.8697916666667
6,Dissabte,0,1469.0572916666667
6,Dissabte,1,1177.0989583333333
6,Dissabte,2,971.5208333333334
6,Dissabte,3,804.890625
6,Dissabte,4,558.90625
6,Dissabte,5,537.0416666666666
6,Dissabte,6,543.7864583333334
6,Dissabte,7,622.7447916666666
6,Dissabte,8,965.015625
6,Dissabte,9,1287.0208333333333
6,Dissabte,10,1434.4020618556701
6,Dissabte,11,1559.6051282051283
6,Dissabte,12,1642.1494845360826
6,Dissabte,13,1732.9742268041236
6,Dissabte,14,1645.9274611398964
6,Dissabte,15,1529.860824742268
6,Dissabte,16,1670.6546391752577
6,Dissabte,17,1727.2731958762886
6,Dissabte,18,1786.8
6,Dissabte,19,1862.5179487179487
6,Dissabte,20,1851.297435897436
6,Dissabte,21,1586.5051546391753
6,Dissabte,22,1368.8711340206185
6,Dissabte,23,1430.4145077720207
7,Diumenge,0,1361.7604166666667
7,Diumenge,1,1106.765625
7,Diumenge,2,889.1808510638298
7,Diumenge,3,727.5260416666666
7,Diumenge,4,504.0989583333333
7,Diumenge,5,480.09375
7,Diumenge,6,503.9947916666667
7,Diumenge,7,558.6439790575917
7,Diumenge,8,781.9528795811518
7,Diumenge,9,1002.848167539267
7,Diumenge,10,1224.9947643979058
7,Diumenge,11,1436.2722513089004
7,Diumenge,12,1530.7916666666667
7,Diumenge,13,1600.434554973822
7,Diumenge,14,1521.8534031413612
7,Diumenge,15,1406.4114583333333
7,Diumenge,16,1552.3560209424083
7,Diumenge,17,1643.3020833333333
7,Diumenge,18,1702.0785340314137
7,Diumenge,19,1713.848167539267
7,Diumenge,20,1662.9738219895287
7,Diumenge,21,1393.4921465968587
7,Diumenge,22,1171.1465968586388
7,Diumenge,23,1174.5052083333333
